00000120,14,"「に～いやん」","","",""
00000158,12,"「何だよ？」","","",""
000001cc,34,"「ううん、ちょっと呼んでみただけ」","","",""
000002a8,57,"「お前って、本当に小さいころと
　見かけが変わらないよな」","","",""
00000324,61,"「あはは、髪の両サイドを結んだら、
　まったく同じ顔だよね～」","","",""
00000428,36,"「見てると、小さいころを思い出す？」","","",""
000004c4,10,"「時々な」","","",""
00000520,55,"「私はそうでもないよ。
　にいやんは顔つき変わったもん」","","",""
00000604,12,"「そうか？」","","",""
0000065c,34,"「うん。ずっと…男らしくなった…」","","",""
00000734,61,"「同じ家に住んでると、いつでも一緒に
　遊びに行けていいよね」","","",""
00000818,20,"「ははは、そうだな」","","",""
0000088c,18,"「兄妹の利点だね」","","",""
000008ec,71,"「運命的な出会いってよく言うけど、
　俺たちの出会いは運命的すぎるよな」","","",""
00000974,65,"「あはは、そうだね～。まさに、
　事実は小説よりも奇なり、だよね」","","",""
00000ad8,38,"「この出会いを…大切にしなくっちゃね」","","",""
00000b98,24,"「恋って思うんだけど…」","","",""
00000bfc,49,"「うんうん、さすがにいやん。
　いいこと言うね～」","","",""
