000001a0,65,"（やばい、ちょっと出遅れたなぁ、
　これといって空いてる席がない）","","",""
00000210,34,"（まいったな～、うどんがのびる…）","","",""
00000260,30,"「う～ん、席が空いてないなぁ」","","",""
00000374,16,"「あ、新見さん」","","",""
00000404,14,"「あ、\p01君」","","",""
0000043c,26,"「１人で食堂？　珍しいね」","","",""
000004d0,40,"「ちょっと用事があって、出遅れちゃって」","","",""
00000530,10,"「そっか」","","",""
00000588,73,"「クラスの子を捜してるんだけど、
　今日はパンなのかな、いないみたいで…」","","",""
00000658,22,"「…手分けしようか？」","","",""
000006c8,8,"「え？」","","",""
00000700,78,"「俺が席を探しておくから、
　新見さんは列に並ぶんだ。
　そうすれば早いだろ？」","","",""
0000078c,12,"「いいの？」","","",""
000007d0,108,"「ああ。どうせ俺は、早く席を見つけないと
　うどんがのびちゃうし、２つ席が空いてる
　テーブルを探しておくよ」","","",""
00000878,92,"「うん！　ありがとう！
　いっしょに食べられるなんてうれしい。
　じゃあ、お昼、取ってくるね」","","",""
00000968,26,"「私もうどんにしよっと！」","","",""
00000a78,67,"（そ、そっか、一緒に食うことになるのか。
　深く考えてなかったぞ…）","","",""
00000ae8,61,"（…まぁ、いいか。ともかく、早く席を
　探さないとうどんが…）","","",""
00000bf4,30,"（なかなかいい席がないなぁ…）","","",""
00000d48,47,"「\p01、俺たちの横のテーブルが
　空いてるぜぇ」","","",""
00000dc4,24,"「遠慮せずに座りなよ～」","","",""
00000e48,22,"「新見遙佳と一緒にな」","","",""
00000e94,22,"「遙佳タンと一緒にね」","","",""
00000ed8,57,"「あ、中川、東。ありがとよ…と言いたい
　ところだけど…」","","",""
00000f40,34,"「お前ら、新見さんを撮る気だろ？」","","",""
00000fb4,55,"「当ったり前じゃねぇか？
　俺たちのオペレーションだぞ」","","",""
00001070,34,"「今日の遙佳タンの昼食は何だい？」","","",""
000010bc,36,"「俺と同じ、うどんだって言ってたぞ」","","",""
00001110,32,"「うどんか、おあつらえ向きだな」","","",""
00001224,24,"「おあつらえ向きだね～」","","",""
00001274,12,"「何がだよ」","","",""
00001300,88,"「わかってねぇなぁ、\p01は。
　うどんをすする時、女子はどうなる？
　どんな格好をする？」","","",""
00001384,20,"「どんな格好って…」","","",""
000013e4,77,"「わっかんねぇかなぁ、前屈みだよ。
　髪をかき上げながら、前屈みになるんだよ」","","",""
000014dc,96,"「ふふ～～ん、そそられるよね～。
　指先からほどけたロングヘアの向こうに
　浮かぶ、美しい胸元…」","","",""
00001568,79,"「胸チラリズムを追い求めるボクとしては、
　まさに至高のシャッターチャンスだよ」","","",""
0000161c,14,"「…なるほど」","","",""
000016cc,63,"「東が胸元を狙うなら、俺は、横の席から
　袖ぐりをスナイプだぜ」","","",""
00001788,40,"「まぁ、本人の許可を取るならいいけど…」","","",""
0000183c,57,"「はぁ？　何言ってんだお前。
　ステルス撮影に決まって…」","","",""
000018e4,36,"「あ、はるちゃん、これからお昼～？」","","",""
00001970,40,"「あ、かのちゃんに、舞衣ちゃん。そうよ」","","",""
000019bc,40,"「ここで一緒に食べませんか？　遙佳先輩」","","",""
00001a54,43,"「うん、いいわよ。
　\p01君、呼んでくるね」","","",""
00001aac,10,"「あぅ…」","","",""
00001af0,18,"「なんてこった…」","","",""
00001c90,59,"「\p01君、かのちゃんたちが、
　向こうで一緒に食べようって」","","",""
00001d00,12,"「あ、ああ」","","",""
00001d54,16,"「待ってるわね」","","",""
0000201c,8,"「……」","","",""
00002068,24,"「なんだよ、早く行けよ」","","",""
000020a4,71,"「いや…お前たちが不びんで…。
　俺だけでもお前たちと一緒に食おうか？」","","",""
0000213c,42,"「女子の誘いを断って、男と食うってお前…」","","",""
000021dc,24,"「ホモホモしいんだよ！」","","",""
00002238,71,"「そうだそうだ！　キミだけ女の子に囲まれて
　楽しく食べればいいんだ！」","","",""
000022b4,28,"「…じゃあ、悪いな。またな」","","",""
00002364,57,"「うう…中川君、ボクたちのうどん、
　のびきっちゃったね」","","",""
000023cc,49,"「泣きごと言うな！
　量が増えて…いいじゃねぇか」","","",""
00002470,55,"（新見…さんと舞衣ちゃんって、
　知り合いだったんだな）","","",""
