000000a8,63,"「なぁ、このまま帰るのも何だし、
　どこかへ寄っていかないか？」","","",""
00000160,28,"「うん、いいけど、どこへ？」","","",""
000001f4,16,"「そうだなぁ…」","","",""
00000258,78,"「スパリゾートへ行かないか？
　あそこなら、いろいろ遊ぶ施設が
　ありそうだし」","","",""
000002f8,26,"「あ、いいわね。行こっか」","","",""
000003bc,75,"「あ…そういえば、郊外にスパリゾートが
　出来たらしいんだけど、知ってる？」","","",""
00000504,12,"「あ、ああ」","","",""
00000574,30,"「ああ、夜中のＣＭで見たかも」","","",""
00000628,49,"「電車で２駅らしいし、
　ちょっと行ってみない？」","","",""
00000700,22,"「そうだな、行こうか」","","",""
00000768,28,"「そうだな、行ってみようか」","","",""
00000768,28,"「そうだな、行ってみようか」","","",""
00000878,96,"「あ……ごめんね、今日はちょっと
　お母さんから用事を頼まれてて、
　まっすぐ帰らなきゃダメなの」","","",""
0000097c,14,"「そ、そっか」","","",""
000009e8,47,"「私も\p01君と、
　どこかに寄りたいんだけど…」","","",""
00000a80,8,"「……」","","",""
00000a80,8,"「……」","","",""
00000b0c,67,"「用事があるなら仕方ないよ。
　いつでも一緒に帰れるし、また誘うよ」","","",""
00000bac,20,"「うん、ありがとう」","","",""
00000c5c,26,"「じゃあ、またね、\p01君」","","",""
00000cac,26,"「ああ、またね、新見さん」","","",""
00000d18,49,"「なぁ、またスパリゾートへ
　寄って行かないか？」","","",""
00000dc4,34,"「あ、もしかして、また体力測定？」","","",""
00000e84,53,"「そう。あの記録は不本意だからな。
　再チャレンジだ」","","",""
00000f0c,20,"「クスッ、いいわよ」","","",""
00000878,96,"「あ……ごめんね、今日はちょっと
　お母さんから用事を頼まれてて、
　まっすぐ帰らなきゃダメなの」","","",""
000010e4,12,"「そっか…」","","",""
00001144,53,"「私も\p01君と、
　スパリゾートに寄りたいんだけど…」","","",""
00000b0c,67,"「用事があるなら仕方ないよ。
　いつでも一緒に帰れるし、また誘うよ」","","",""
00001278,30,"「うん、そうよね。また誘って」","","",""
00000c5c,26,"「じゃあ、またね、\p01君」","","",""
00000cac,26,"「ああ、またね、新見さん」","","",""
