00000098,28,"「あ、柚ノ木さん、特に何も」","Oh, Yunoki, especially nothing","О, Юноки, особенно ничего","Oh, Yunoki, besonders nichts"
00000100,22,"「今、ちょっといい？」","“What’s it now?”","- Что это сейчас? »","„Was ist jetzt? „"
0000018c,12,"写真を見せる","Show Photos","Показать фотографии","Fotos anzeigen"
00000238,22,"「もちろん、いいよ？」","“Of course, it’s good?”","- Конечно, это хорошо? »","„Natürlich ist es gut? „"
000002ac,40,"「本当？　じゃあ、いろいろお話しさせて」","“True? Let’s talk to you.”","— Правда? Давайте поговорим с вами. »","„True? Reden wir mit Ihnen. „"
00000390,51,"「いいけど、暇なら、
　俺が撮った写真でも見ない？」","“I think it’s good, but I can’t see photos I took
in my time?”","«Я думаю, что это хорошо, но я не вижу
фотографии, которые я взял в свое время? »","„Ich glaube, es ist gut, aber ich kann keine
Fotos sehen, die ich in meiner Zeit gemacht habe?
„"
00000420,40,"「あ、うん！　見たい、見たい。見せて～」","Oh, yeah! I'm sorry, I'm sorry.","О, да! Извините, извините.","Oh, ja! Es tut mir leid, es tut mir leid."
000004f0,26,"「ごめん、今はちょっと…」","“Gomen, now a little…”","“Гомен, теперь немного… »","„Gomen, jetzt ein wenig… „"
0000055c,32,"「あ…そうなんだ……何か用事？」","“Oh… That’s right… something?”","«О… Это правильно… что-то? »","Oh… Das stimmt… etwas? „"
000005f4,16,"「…そんなとこ」","… That's it.","… Это.","… Das ist es."
00000658,32,"「そっか…残念。じゃあ…またね」","I'm sorry. 」","- Прости. 」","Es tut mir leid. !"
00000728,16,"「ああ、またね」","」","」","!"
