0000048c,32,"「毎日が日曜日って、いいわよね」","Every day is Sunday, isn't it?","",""
000004f8,28,"「休みの日って何やってる？」","What are you doing on your day off?","",""
00000600,36,"「柚ノ木さんって、どんな服が好み？」","What kind of clothes does Yuzunogi like?","",""
00000684,42,"「柔らかい布地の、フワッとした服が好きよ」","I like soft, fluffy clothes.","",""
0000079c,22,"「へ～っ、そうなんだ」","Hey, that's right.","",""
000008c4,22,"「この間の休みの日…」","The day off during this time …","",""
00000a68,14,"「ま、まぁね」","Well, well","",""
00000a98,32,"（飽きっぽいとも言うんだけど…）","(I'm tired of it …)","",""
00000c0c,28,"「ダーツ、楽しかったわね～」","Darts were fun ~","",""
00000c80,32,"「よかったよ、気に入ってくれて」","I'm glad you like it.","",""
00000cec,24,"「また、連れて行ってね」","Take me again.","",""
00000d80,32,"「ビリヤード、楽しかったわね～」","Billiards were fun ~","",""
00000e18,32,"「ダーツとどっちが楽しかった？」","Which was more fun, darts?","",""
00001108,40,"「料理以外で、好きなことって何かある？」","What do you like other than cooking?","",""
00001190,18,"「私は、ピアノね」","I'm a piano","",""
000011f4,32,"「へ～っ、ピアノが弾けるんだ？」","Hey, can you play the piano?","",""
00001274,42,"「ええ、少しだけ。小さいころに習ったから」","Yes, just a little. I learned it when I was little.","",""
00001390,38,"「そっか、ピアノ、うまかったからなぁ」","Oh, the piano was good.","",""
000018e0,28,"「趣味って、思うんだけど…」","I think it's a hobby …","",""
00001b68,40,"「柚ノ木さんって、パソコンは詳しい方？」","Is Mr. Yuzunoki familiar with personal computers?","",""
00001be4,16,"「ううん、全然」","Yeah, at all","",""
00001d28,10,"「ははは」","Hahaha","",""
00001d74,38,"「ブログとか、ＳＮＳに興味はないの？」","Are you not interested in blogging or SNS?","",""
00001df8,16,"「興味あるわよ」","I'm interested","",""
00001f74,42,"「もっと、料理や文章がうまくなってからね」","After I get better at cooking and writing.","",""
00002018,36,"「ね、ミントってすごい生命力なのよ」","Hey, mint is a great vitality.","",""
00002074,8,"「え？」","e?","",""
00001d28,10,"「ははは」","Hahaha","",""
000023a4,30,"「週末には必ず掃除してるわよ」","I always clean it on weekends.","",""
000023ec,22,"「毎週？　マメだね～」","Every week? It's a bean ~","",""
00002460,34,"「だって、ほこりっぽいの嫌だもの」","Because I hate dusty things","",""
000024cc,18,"「休日と言えば…」","Speaking of holidays …","",""
00002628,36,"「遊園地、とっても楽しかったわね～」","The amusement park was really fun ~","",""
000026b0,14,"「そうだね～」","That's right ~","",""
00002764,38,"「いや、新婚気分になれて、よかったよ」","No, I'm glad I felt like a newlywed.","",""
000027f0,22,"「あ……フフッ、私も」","Ah … huh, me too","",""
00002890,40,"「これからやってみたい趣味って、ある？」","Are there any hobbies you would like to try?","",""
0000290c,38,"「え～と…洋服を作ってみたいなぁって」","Well … I want to make clothes.","",""
000029a8,24,"「えっ！？　洋服を！？」","Eh !? Clothes !?","",""
00002be4,36,"「また、一緒にデート…したいなって」","I want to date together again …","",""
00002c68,30,"「うん、私も…また、誘ってね」","Yeah, I also … invite me again.","",""
00002d40,38,"「今年の冬休みは、一緒に…過ごせる？」","Can we spend this winter vacation together …?","",""
00002d90,18,"「もちろんだよ！」","sure!","",""
00002df0,20,"「クリスマス…も？」","Christmas … also?","",""
00002e28,30,"「…柚ノ木さんさえ、よければ」","… If only Yuzunogi-san is okay","",""
00002f1c,24,"「…誘うよ、絶対に誘う」","… I'll invite you, I'll definitely invite you","",""
00002f9c,18,"「うん…待ってる」","Yeah … I'm waiting","",""
00002ff8,28,"「中間テストが終わったら…」","When the mid-term test is over …","",""
00003060,38,"「ええ、いろいろ一緒に行きたいなって」","Yes, I want to go with you.","",""
000002fc,53,"「柚ノ木さんって、夏休みの間、
　どんなことしてた？」","","",""
