00000088,65,"「実原、このまま帰るのも何だし、
　カラオケでも寄ってかないか？」","","",""
00000150,20,"「カラオケ…ですか」","","",""
00000200,14,"「いいですよ」","","",""
00000244,28,"「よし！　じゃあ、行くか！」","","",""
000002d8,49,"「あ……今日は、まっすぐ帰らないと
　まずいんで」","","",""
00000340,16,"「そうなのか？」","","",""
000003ac,8,"「ええ」","","",""
000003e0,22,"「じゃあ、仕方ないな」","","",""
00000444,24,"「また、誘ってください」","","",""
00000480,22,"「そうするよ、またな」","","",""
000004e0,14,"「失礼します」","","",""
000005e4,36,"（もう一つ盛り上がらなかったしな…）","","",""
00000664,71,"「実原、このまま帰るのも何だし、
　また、カラオケでも寄ってかないか？」","","",""
00000200,14,"「いいですよ」","","",""
00000244,28,"「よし！　じゃあ、行くか！」","","",""
