0000013c,38,"「柚ノ木さんって、よく果物落とすよね」","Yuzunogi-san often drops fruits, doesn't he?","",""
000001d0,34,"「あ～っ、私をドジっ娘扱いしてぇ」","Ah, treat me as a dojikko","",""
000003e0,32,"「アップルパイ、うまかったなぁ」","Apple pie was delicious","",""
00000460,38,"「フフッ、よかった、気に入ってくれて」","Huh, I'm glad you liked it.","",""
00000558,32,"「また作るから、一緒に食べてね」","I'll make it again, so eat it together.","",""
000006ac,22,"「いっぱいあるわよ～」","There are many!","",""
00000948,26,"（さすが、猛烈に詳しいな）","(As expected, it is extremely detailed)","",""
00000ab8,16,"「おっ、いいね」","Oh, I like it","",""
00000c24,42,"「ちょっと変わったスイーツって何かない？」","Are there any unusual sweets?","",""
00000ca4,34,"「変わったスイーツ？　そうねぇ…」","Weird sweets? Yeah …","",""
00000fec,14,"「そうかなぁ」","I wonder","",""
00001194,26,"「フフッ、何だか懐かしい」","Huh, I feel nostalgic.","",""
000014f4,26,"「秋のスイーツといえば…」","Speaking of autumn sweets …","",""
0000029c,92,"「果物を落とすなんて、滅多にないんだから。
　たまたま、あなたが
　いつも居合わせてるだけよ」","","",""
00000628,47,"「柚ノ木さんの好きなスイーツの店って
　どこ？」","","",""
00000724,84,"「ショッピングモールの
　野菜専門のケーキ屋さんに、
　手作りのシュークリーム屋さん」","","",""
0000081c,79,"「駅向こうに新しく出来たケーキ屋さんに、
　商店街の甘味処。それからそれから…」","","",""
000009d0,84,"「涼しくなってきたし、
　中間テストが終わったら、
　チョコレートケーキを作ろうかな」","","",""
00000b20,73,"「溶ける心配がないから、、チョコクリームを
　たっぷりかけちゃうんだから」","","",""
00000d5c,98,"「ご当地のお土産とかに多いわよね、
　名産のウナギの粉が入ったパイとか、
　納豆が入ったチョコとか」","","",""
00000e74,45,"「納豆が入ったチョコ！？
　それは微妙だなぁ」","","",""
00000f04,63,"「私も食べたことないけど、納豆が好きなら
　おいしいのかもよ？」","","",""
00001050,96,"「私も、どんなハンバーガーにするか
　悩んでた時、名産の食材がないか、
　いろいろ考えたのよね～」","","",""
00001244,55,"「コンビニスイーツって、
　年々出来がよくなってるよね」","","",""
000012e8,73,"「うん。見た目も、いっぱい作ってるとは
　思えないぐらい、かわいいわよね」","","",""
000013f8,80,"「簡単な作り方なのに、
　あんなにきれいに見せるんだもの、
　すごいなぁって思う」","","",""
00001584,59,"「フフッ、いつでもリクエストしてね。
　がんばって作るから」","","",""
