000002c8,53,"「室戸先輩って、いつもどんな音楽を
　聴いてますか？」","“What kind of music do you always listen to?”","«Какую музыку вы всегда слушаете? »","„Was für Musik hören Sie immer? „"
0000035c,63,"「よく聴くのはクラシックね。
　モーツアルトよりバッハって感じ」","“It’s classic to hear well.” “I feel more bach
than Morzalto”","«Очень классично хорошо слышать». «Я чувствую
себя больше, чем Morzalto»","„Es ist klassisch, gut zu hören.“ „Ich fühle mich
mehr bach als Morzalto“"
000003d4,36,"「テレビ番組ってどんなの見てます？」","What do you see TV shows?","- Что вы видите телешоу?","Was sehen Sie Fernsehsendungen?"
00000450,61,"「ネイチャーものが好きよ。
　動物とか自然のドキュメンタリー」","I like nature. Animals and Nature ary","Мне нравится природа. Животные и природа ary","Ich mag die Natur. Tiere und Natur ary"
0000050c,30,"「特に海を扱ったものが好きね」","I like things that handled the sea especially","Я люблю вещи, которые справились с морем особенно","Ich mag Dinge, die das Meer besonders behandelt
haben"
00000604,71,"「夏休みの終わりに、父さんがくれたんです。
　で、触ってみたら面白くて」","My father gave me the end of summer vacation.
It is fun to touch","«Мой отец дал мне конец летних каникул». Приятно
прикоснуться","Mein Vater gab mir das Ende des Sommerurlaubs.
Es macht Spaß zu berühren"
0000068c,47,"「ふうん、じゃあ、お父さんに
　感謝しなきゃね」","I have to thank my father,","Я должен поблагодарить моего отца,","Ich muss meinem Vater danken."
00000738,20,"「まぁ、そうですね」","“Well, right?”","— Ну, правда? »","„Nun, richtig? „"
0000079c,55,"「クラシックを聴くようになった
　きっかけって何です？」","How did you hear classical music?","Как вы узнали классическую музыку?","Wie hast du klassische Musik gehört?"
00000828,98,"「勉強の邪魔にならないからよ。
　歌があるとね、どうしても歌詞に
　引っ張られて、思考が乱れるのよ」","It is important to study. If you have a song,
you will be 歌詞ed to the lyrics and your thoughts
will be disturbed.","- Важно учиться. Если у вас есть песня, вы будете
the詞ed к тексту и ваши мысли будут нарушены.","Es ist wichtig zu studieren. Wenn Sie ein Lied
haben, werden Sie den Texten näher gebracht und
Ihre Gedanken werden gestört."
0000095c,81,"「あと、オーケストラの広がりのある音って、
　リラックスするのにもいいじゃない？」","“What is the sound of the orchestra that
spreads?”","«Что такое звук оркестра, который распространяет?
»","„Was ist der Klang des Orchesters, das sich
ausbreitet? „"
00000a34,34,"「この間、テレビで見たんですけど」","I see it on TV this time.","- Я вижу это на ТВ в этот раз.","Ich sehe es diesmal im Fernsehen."
00000abc,42,"「ふうん、なかなかためになりそうな番組ね」","Yes, it's a program that seems to be a little","Да, это программа, которая кажется немного","Ja, es ist ein Programm, das ein wenig zu sein
scheint"
00000b2c,57,"「プールで写真を撮らせてもらって
　ありがとうございます」","Thank you for taking photos in the pool.","Спасибо за фото в бассейне.","Danke für Fotos im Pool."
00000bcc,108,"「九堂に見られた時のことを言ってる？
　もう…とんでもないところを見られて、
　本当に恥ずかしい思いをしたわ」","“What do you say when you were seen in the ninth
temple? I’m looking at aを見iculous place, and I
really felt embarrassed.”","— Что вы говорите, когда видели в девятом храме?
Я смотрю на acc見iculous место, и я действительно
чувствовал смущен. »","„Was sagst du, als du im neunten Tempel gesehen
wurdest? Ich blicke auf einen bestimmten Ort, und
ich fühlte mich wirklich peinlich. „"
00000d50,38,"「もう、あんな撮影はごめんだからね！」","“I don’t have any more photos!”","«У меня еще нет фотографий!»","„Ich habe keine Fotos mehr!“"
00000da4,14,"「は、はい…」","Yes…","Да…","Ja…"
00000e2c,34,"「好きな映画ってどんなのですか？」","What is your favorite movie?","Каков ваш любимый фильм?","Was ist Ihr Lieblingsfilm?"
00000eb4,63,"「派手なアクションとか、銃で撃ったりとかが
　ない映画が好きよ」","I like movies that do not have flashy actions or
guns.","Я люблю фильмы, которые не имеют вспышки действия
или пушки.","Ich mag Filme, die keine Flash-Actions oder
Waffen haben."
00000f80,40,"「普通の恋愛ものとか、ミステリーとかね」","“What is ordinary love? Mystery”","«Что такое обычная любовь? Тайна»","„Was ist gewöhnliche Liebe? Das Geheimnis"
0000107c,57,"「もちろん、教育テレビの、高校英語講座や
　数学講座を…」","Edu al TV, High School English and Mathematics
…","Edu al TV, High School Английский и математика
…","Edu al TV, High School Englisch und Mathematik
…"
00001110,16,"「ウソばっかり」","」","」","!"
00001144,30,"「ははは、見え透いてました？」","“Have you seen it?”","- Ты видел это? »","„Haben Sie es gesehen? „"
