00000164,18,"（この辺でいいか）","(Is this around?)","(Это где-то?)",""
00000268,24,"「おーい、だっつ～ん！」","Hey, that's it!","Эй, вот оно!",""
0000030c,38,"「だっつんってば～、聞こえないのぉ？」","Don't you hear me?","— Ты меня не слышишь?",""
00000354,26,"（むむ…意外と難しいな…）","(Mmm … surprisingly difficult …)","(Ммм… удивительно сложно…)",""
0000039c,40,"「ったく、妙に集中してるなぁ…ようし…」","It's strangely concentrated … I'm sorry …","Он странно концентрированный… Прости…",""
0000043c,42,"「だ～～っつん！　なぁにやってんのっ！？」","Da ~~ tsutsun! What are you doing !?","Да ~~ цуцун! Что ты делаешь!?",""
00000494,10,"「わっ！」","Wow!","Ух ты!",""
00000548,40,"「な、何だ、ののかか。びっくりするだろ」","What is it? You'll be surprised.","«Что такое? Вы будете удивлены».",""
000006e4,30,"「けど、ちっとも気づかないし」","But I don't notice at all.","— Но я совсем не замечаю.",""
00000738,20,"「そっか、悪い悪い」","Oh, bad, bad.","«Ой, плохо, плохо».",""
00000888,32,"「で、そのカメラ、どうしたの？」","So what happened to that camera?","— Так что же случилось с этой камерой?",""
00000968,10,"「何で？」","why?","Почему?",""
00000994,34,"「何でって…気に入ってないんだよ」","Why … I don't like it.","— Почему… мне это не нравится.",""
00000a14,26,"「私は気に入ってるけど？」","I like it?","Мне это нравится?",""
00000a58,22,"「俺は気に入ってない」","I don't like it","Мне это не нравится",""
00000ab8,34,"「呼びやすくていいと思うけどなぁ」","I think it should be easy to call.","«Я думаю, что это должно быть легко позвонить».",""
00000c68,36,"「そう呼んでるのはお前だけだからな」","Because you are the only one calling that.","— Потому что ты единственный, кто так звонит.",""
00000cec,22,"「あれ？　はるるは？」","What? Haruru?","— Что? Харуру?",""
00000f28,12,"「うるさい」","noisy","шумный",""
00001058,20,"「…余計なお世話だ」","…It's none of your business","…Это не твое дело",""
00001150,38,"「いらないって。呼び方は普通が一番だ」","I don't need it. It's usually called the best.","«Мне это не нужно. Его обычно называют лучшим».",""
000012bc,28,"「親しき仲にも礼儀あり、だ」","There is also courtesy to my close friends.","«Есть также вежливость к моим близким друзьям».",""
0000131c,26,"「はぁ…素直じゃないねぇ」","Hmm … it's not straightforward.","«Хм… это не так просто».",""
000013bc,14,"「ほっとけよ」","Relieve me","Освободи меня",""
00001658,14,"「うっさいぞ」","Cyzo","Сайзо",""
000016c4,20,"「じゃあ、ビリー？」","Then Billy?","— Тогда Билли?",""
00001a60,8,"「う…」","cormorant…","«баклан…»",""
00001bb0,24,"「…家の机の中にあるよ」","… it's in the desk at home.","… это в столе дома.",""
00001c14,26,"「あはは、まだあるんだ～」","Ah, I still have it ~","Ах, он у меня еще есть~",""
00001cb4,42,"「今度、また一緒にダーツやりに行こうよ～」","Let's go darts together again this time ~","«Давай на этот раз снова поиграем в дартс вместе~»",""
00001d08,16,"「何を今さら…」","What are you doing now …","Что ты сейчас делаешь …",""
00001d78,26,"「あん時はすごかったなぁ」","It was amazing at that time.","«В то время это было потрясающе».",""
00002160,14,"「…そうだな」","… That's right.","… Вот так.",""
000021b8,32,"「あん時は、おっかしかったなぁ」","It was funny at that time.","«В то время это было забавно».",""
00002514,16,"「懐かしいね～」","I miss you ~","Я скучаю по тебе~",""
0000257c,32,"「はぁ…いいよもう、だっつんで」","Oh … okay, let's do it.","— О… хорошо, давай сделаем это.",""
000025e8,32,"「そうそう、男はあきらめが肝心」","Oh yeah, it's important for a man to give up","«О да, для мужчины важно сдаться»",""
000027e0,26,"「へ～っ、ラッキーだねぇ」","Hey, I'm lucky.","«Эй, мне повезло».",""
00002854,20,"「いろいろ撮った？」","Did you take various pictures?","«Вы делали разные снимки?»",""
000028a0,10,"「まあな」","Well","Что ж",""
00002964,12,"「何だよ？」","What?","Какая?",""
00002a6c,22,"「…どこにいるんだよ」","… where are you?","… где ты?",""
00002ad4,28,"「い・る・で・しょ、ここに」","I-ru-de-sho, here","И-ру-де-шо, сюда",""
00002b68,32,"「やたら健康そうな女ならいるな」","There is a woman who looks healthy","«Есть женщина, которая выглядит здоровой»",""
00002cd4,38,"「撮って欲しいなら、欲しいって言えよ」","If you want me to take a picture, say I want it.","«Если хочешь, чтобы я сфотографировал, скажи, что я хочу».",""
00002d38,24,"「撮って～っ。お願い～」","Take a picture. Please.","«Сфотографируй. Пожалуйста».",""
00002db4,14,"「いいけど…」","It's good, but…","«Это хорошо, но…»",""
00002dd4,22,"シャッターチャンスだ！","It's a photo opportunity!","Это возможность сфотографироваться!",""
00002ea4,22,"「んべ～～～～～っ！」","Nbe ~~~~~!","Нбе ~~~~~!",""
00002f84,22,"「さっさと撮ってよぉ」","Take a quick shot","«Сделай быстрый снимок»",""
00002fc8,30,"「その顔をか？　わかったよ…」","Do you see that face? I understand …","«Видите это лицо? Я понимаю…»",""
00003054,28,"「なんで、あかんべなんだよ」","Why is it Akanbe?","Почему это Аканбэ?",""
000030a8,16,"「なーんとなく」","Naughty","Непослушный",""
000030e8,18,"「何となくねぇ…」","Somehow …","Как-то …",""
00003158,36,"「さーて、そろそろ部活へ行かなきゃ」","Now, I have to go to club activities soon.","«Теперь мне скоро нужно идти на клубные мероприятия».",""
00003210,30,"「やっぱり、撮るまでもないな」","After all, there is no need to take a picture.","«Ведь нет необходимости фотографировать».",""
00003280,24,"「えーっ、どうしてぇ？」","Why?","Почему?",""
000032d0,24,"「そのうち撮ってやるよ」","I'll take a picture soon","Скоро сделаю фото",""
0000333c,20,"「いーっ。意地悪！」","Oh, mean!","О, значит!",""
00003414,36,"「おっとそうだ！　早く行かなきゃ！」","Oops! I have to go early!","Ой! Я должен идти рано!",""
