0000016c,74,"「先輩、すみません、
　やっぱり撮られるのって、
　性に合わないと言うか…」","","",""
00000244,8,"「え？」","","",""
00000270,26,"「失礼してもいいですか？」","","",""
000002b8,12,"「あ、ああ」","","",""
00000314,20,"「では、失礼します」","","",""
000003a0,59,"「先輩、すみません。
　やっぱり…撮られ慣れないというか…」","","",""
00000244,8,"「え？」","","",""
00000270,26,"「失礼してもいいですか？」","","",""
000002b8,12,"「あ、ああ」","","",""
00000578,26,"「すみません。失礼します」","","",""
00000600,59,"「あー、先輩、すみません。
　用事があるのを思い出しました」","","",""
00000244,8,"「え？」","","",""
00000270,26,"「失礼してもいいですか？」","","",""
000002b8,12,"「あ、ああ」","","",""
000007bc,34,"「じゃあ、すみません。失礼します」","","",""
0000084c,8,"「あ…」","","",""
00000884,14,"「どうした？」","","",""
000008e4,51,"「先輩、すみません、用事があるのを
　思い出して…」","","",""
00000244,8,"「え？」","","",""
000009c4,36,"「すぐ行かなきゃならないんですけど」","","",""
00000a0c,30,"「そっか…じゃあ、仕方ないな」","","",""
00000a58,26,"「すみません、失礼します」","","",""
00000b64,32,"（もっと、うまく撮らないとな…）","","",""
