000000fc,36,"「室戸先輩、ありがとうございました」","Thank you for the seniors of Muroto","«Спасибо за пожилых людей Мурото»","Danke für die Senioren von Muroto"
00000174,16,"「もういいの？」","“What’s better?”","— Что лучше? »","„Was ist besser? „"
000001b4,8,"「ええ」","」","」","!"
0000021c,24,"「そう。じゃあ、またね」","。 、","。 、","。 、"
000000fc,36,"「室戸先輩、ありがとうございました」","Thank you for the seniors of Muroto","«Спасибо за пожилых людей Мурото»","Danke für die Senioren von Muroto"
0000033c,45,"「もういいの？
　私なら、まだ時間あるけど？」","“Oh, I’m still in time?”","«О, я все еще вовремя? »","„Oh, ich bin noch in der Zeit? „"
000003cc,34,"「また今度、お願いさせてください」","Please ask again this time.","- Пожалуйста, попросите еще раз в этот раз.","Bitte noch einmal fragen."
0000044c,26,"「そう？　じゃあ、またね」","“Well, right?”","— Ну, правда? »","„Nun, richtig? „"
0000049c,14,"「失礼します」","I'm sorry.","- Прости.","Es tut mir leid."
000000fc,36,"「室戸先輩、ありがとうございました」","Thank you for the seniors of Muroto","«Спасибо за пожилых людей Мурото»","Danke für die Senioren von Muroto"
0000055c,20,"「…いいの？　もう」","…I want to do it?","-- Я хочу это сделать?","Ich will es tun?"
000005d4,32,"「はい。また、今度お願いします」","Yes. I would like to thank you again.","Да. Я хотел бы поблагодарить вас снова.","Ja. Ich möchte Ihnen nochmals danken."
00000650,24,"「そう…じゃあ、またね」","Oh, it's not.","О, это не так.","Oh, ist es nicht."
000000fc,36,"「室戸先輩、ありがとうございました」","Thank you for the seniors of Muroto","«Спасибо за пожилых людей Мурото»","Danke für die Senioren von Muroto"
00000758,49,"「…いいの？　もう。
　私なら、まだ時間あるわよ」","…I'm good? I'm still in time.","… Я хорошо? Я все еще вовремя.","… Mir geht's gut? Ich bin noch in der Zeit."
000007ec,26,"「また今度、お願いします」","Also, please.","- Также, пожалуйста.","Also, bitte."
0000021c,24,"「そう。じゃあ、またね」","。 、","。 、","。 、"
000008e8,42,"「ありがとう、室戸先輩。今回はこの辺で…」","Thank you, my seniors. This time at this side…","Спасибо, мои пожилые люди. Это время на этой
стороне…","Danke, meine Senioren. Dieses Mal an dieser
Seite…"
00000970,49,"「え？　もういいの？
　私なら、まだ全然平気よ？」","“Well, right? I’m still flat?”","— Ну, правда? Я еще плоский? »","„Nun, richtig? Ich bin immer noch flach? „"
00000a04,77,"「俺の方が、何だかうまく撮れなくて…。
　また、今度、お願いしていいですか？」","I don't have to take it well. Do you have any
questions?","Мне не нужно принимать это хорошо. Есть вопросы?","Ich muss es nicht gut nehmen. Haben Sie Fragen?"
00000ab0,38,"「あ……そういうこと。大変ね、写真も」","“Oh… That’s right.” Thank you very much.","«О… Это правильно. Большое спасибо.","Oh… Das stimmt.“ Vielen Dank."
00000ba4,40,"「私なら、いつでもいいから、声かけてね」","“I’m always good, so I’m talking.”","«Я всегда хорош, поэтому говорю. »","„Ich bin immer gut, also rede ich. „"
00000cc4,14,"「ええ、また」","」","」","!"
