000000c0,22,"「はうぅぅ…\p01君…」","","",""
00000138,16,"「どうかした？」","","",""
000001a8,30,"「どうかした…じゃなくてぇ…」","","",""
00000260,53,"「どうして…そんな、恥ずかしいことばかり
　言うの？」","","",""
0000030c,8,"「え？」","","",""
00000374,22,"「そ、それじゃあね！」","","",""
00000494,22,"「あ！　柚ノ木さん！」","","",""
000004d8,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
00000580,28,"「はうぅぅ…\p01君ってば…」","","",""
00000138,16,"「どうかした？」","","",""
00000670,65,"「どうかした…じゃないわよぉ。
　恥ずかしいことばっかり言ってぇ」","","",""
00000374,22,"「そ、それじゃあね！」","","",""
00000494,22,"「あ！　柚ノ木さん！」","","",""
000004d8,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
0000098c,24,"「あうぅ…恥ずかしぃぃ」","","",""
00000138,16,"「どうかした？」","","",""
00000a78,49,"「うぅ…\p01君のバカァ。
　変な話ばっかりしてぇ」","","",""
00000374,22,"「そ、それじゃあね！」","","",""
00000494,22,"「あ！　柚ノ木さん！」","","",""
000004d8,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
00000d84,30,"「あうぅぅ……も、もう無理…」","","",""
00000138,16,"「どうかした？」","","",""
000001a8,30,"「どうかした…じゃなくてぇ…」","","",""
00000f38,80,"「うぅ…\p01君のバカァ。
　そんなことばっかり言われたら…
　恥ずかしいんだから」","","",""
00000374,22,"「そ、それじゃあね！」","","",""
00000494,22,"「あ！　柚ノ木さん！」","","",""
000004d8,59,"（空気読まずに、恥ずかしい話や、
　行動ばかりしすぎたか…）","","",""
